Operation,PPG,Objective,Planningyear,OLBudgetImpact,AOLBudgetImpact,CompBudgetImpact,ImpactIndicator,Baseline,TargetOL,TargetOP,MYR,YER,Standard,Output,OLBudgetPer,AOLBudgetPer,CompBudgetPer,PerformanceIndicator,TargetOLPer,TargetOPPer,MYRPer,YERPer
Afghanistan,Internally displaced Afghans,Population has optimal access to education,2015,"307,337.62","1,453,034.12","1,760,371.74",Extent persons of concern have access to national education systems,28.0,55.0,60.0,,,80.0,,,,,,,,,
Afghanistan,Internally displaced Afghans,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","307,337.62","1,084,344.70","1,391,682.32",# of educational facilities constructed or improved,1.0,2.0,,
Afghanistan,Internally displaced Afghans,,2015,,,,,,,,,,,Involvement of key stakeholders promoted,0.00,"368,689.42","368,689.42",# of months this calendar year during which UNHCR has had an active relationship with the Ministry of Education,,12.0,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"166,317.04","83,928.56","250,245.60",% of primary school-aged children enrolled in primary education,,,,,,100.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,Population has optimal access to education,2015,"166,317.04","83,928.56","250,245.60",Extent persons of concern have access to national education systems,,,,,,80.0,,,,,,,,,
Algeria,Refugees and asylum seekers in urban areas,,2015,,,,,,,,,,,Primary education provided or supported,"29,865.71",0.00,"29,865.71",# of children enrolled in primary education,,,,
Armenia,Refugees and asylum seekers,Population has optimal access to education,2015,"26,827.65","81,250.00","108,077.65",Extent persons of concern have access to national education systems,75.0,80.0,90.0,,,80.0,,,,,,,,,
Armenia,Refugees and asylum seekers,,2015,,,,,,,,,,,Access to tertiary education provided or supported,"12,331.91","75,625.00","87,956.91",# of PoC who receive tertiary education scholarships,15.0,50.0,,
Armenia,Refugees and asylum seekers,,2015,,,,,,,,,,,Education monitoring system established,"11,163.83",0.00,"11,163.83",# of education assessments/surveys undertaken,2.0,2.0,,
Armenia,Refugees and asylum seekers,,2015,,,,,,,,,,,Lifelong learning opportunities provided or supported,"3,331.91","5,625.00","8,956.91",# of education programmes with life skills initiatives,6.0,10.0,,
Bosnia and Herzegovina,Refugees and asylum seekers,Population has optimal access to education,2015,"29,695.07",0.00,"29,695.07",% of primary school-aged children enrolled in primary education,100.0,100.0,100.0,,,100.0,,,,,,,,,
Bosnia and Herzegovina,Refugees and asylum seekers,,2015,,,,,,,,,,,Measures to improve primary education quality and learning achievement implemented,"29,695.07",0.00,"29,695.07",% of primary school graduates (successful completion of final grade),99.0,99.0,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2015,"239,420.74","166,324.56","405,745.30",% of children aged 3-5 yrs enrolled in early childhood education,81.0,95.0,100.0,,,80.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2015,"239,420.74","166,324.56","405,745.30",% of primary school-aged children enrolled in primary education,86.0,95.0,100.0,,,100.0,,,,,,,,,
Botswana,Refugees and asylum seekers,Population has optimal access to education,2015,"239,420.74","166,324.56","405,745.30",% of secondary school-aged young people enrolled in secondary education,78.0,95.0,100.0,,,80.0,,,,,,,,,
Botswana,Refugees and asylum seekers,,2015,,,,,,,,,,,Early childhood education provided or supported,"78,132.94",0.00,"78,132.94",# of children aged 3-5 enrolled in early childhood education,215.0,215.0,,
Botswana,Refugees and asylum seekers,,2015,,,,,,,,,,,Primary education provided or supported,"46,626.01","83,162.28","129,788.29",# of children enrolled in primary education in the correct grade for their age,400.0,600.0,,
Botswana,Refugees and asylum seekers,,2015,,,,,,,,,,,Secondary education provided or supported,"114,661.79","83,162.28","197,824.07",# of students enrolled in lower secondary education,87.0,100.0,,
Botswana,Refugees and asylum seekers,,2015,,,,,,,,,,,Secondary education provided or supported,"114,661.79","83,162.28","197,824.07",# of students enrolled in upper secondary education,41.0,50.0,,
Burkina Faso,Malian refugees in Burkina Faso,Population has optimal access to education,2015,"819,732.45","889,507.85","1,709,240.30",% of primary school-aged children enrolled in primary education,50.0,80.0,100.0,,,100.0,,,,,,,,,
Burkina Faso,Malian refugees in Burkina Faso,,2015,,,,,,,,,,,"Educational infrastructure constructed, improved or maintained","275,292.15","209,153.95","484,446.10",# of educational facilities constructed or improved,35.0,60.0,,
Burkina Faso,Malian refugees in Burkina Faso,,2015,,,,,,,,,,,Primary education provided or supported,"451,148.15","371,199.95","822,348.10",# of children enrolled in primary education,"4,150.0","5,187.0",,
Burkina Faso,Malian refugees in Burkina Faso,,2015,,,,,,,,,,,Secondary education provided or supported,"93,292.15","309,153.95","402,446.10",# of students enrolled in lower secondary education,"1,130.0","3,800.0",,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),Population has optimal access to education,2015,"113,110.00","234,885.76","347,995.76",% of primary school-aged children enrolled in primary education,50.0,80.0,100.0,,,100.0,,,,,,,,,
Burkina Faso,Refugees and Asylum Seekers in Burkina Faso (non-Malians),,2015,,,,,,,,,,,Primary education provided or supported,"61,747.50","109,442.88","171,190.38",# of children enrolled in primary education,160.0,200.0,,
