Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,25.0,25.0,28.0,,,100.0
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,28.0,55.0,60.0,,,80.0
Afghanistan,Internally displaced Afghans,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,28.0,55.0,60.0,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,100.0,,100.0,83.3,0.0,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Algeria,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
